epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1356.86,1.84967,2.31439,1.59628,0.85371,0.77917,0.83975,0.34107,1.89263,2.07605,1.67714,0.00066365,0.00066365,0.00066365
2,2645.38,1.79592,1.53541,1.51149,0.83496,0.77897,0.83613,0.37229,1.83074,1.72376,1.72891,0.00130398,0.00130398,0.00130398
3,3958.32,1.80758,1.34093,1.53894,0.88492,0.83523,0.90875,0.42964,1.7234,1.4356,1.55108,0.0019179,0.0019179,0.0019179
4,5228.67,1.81175,1.20826,1.51793,0.88003,0.83409,0.90746,0.44187,1.75115,0.98377,1.56866,0.0018812,0.0018812,0.0018812
5,6496.03,1.76222,1.07695,1.49371,0.89924,0.84205,0.91205,0.45276,1.74229,0.95766,1.55111,0.0018416,0.0018416,0.0018416
6,7795.69,1.73557,1.0026,1.47582,0.89811,0.85643,0.9166,0.44974,1.70141,0.95597,1.56534,0.001802,0.001802,0.001802
7,9090.27,1.70458,0.98935,1.45108,0.89866,0.87164,0.93003,0.50047,1.59839,0.83805,1.44997,0.0017624,0.0017624,0.0017624
8,10379.9,1.72262,0.95772,1.45795,0.89694,0.89687,0.93916,0.49167,1.61034,0.81166,1.47454,0.0017228,0.0017228,0.0017228
9,11706.6,1.67774,0.93334,1.43391,0.89649,0.87102,0.91769,0.44734,1.73606,0.83439,1.56223,0.0016832,0.0016832,0.0016832
10,12978.4,1.66063,0.90437,1.4254,0.89167,0.8933,0.93861,0.48776,1.64796,0.79991,1.49154,0.0016436,0.0016436,0.0016436
11,14255.1,1.6733,0.90229,1.41999,0.90857,0.90907,0.93548,0.48573,1.5633,0.74016,1.44677,0.001604,0.001604,0.001604
12,15544.6,1.61176,0.86783,1.39157,0.90613,0.90497,0.953,0.52478,1.54344,0.72576,1.42173,0.0015644,0.0015644,0.0015644
13,16807.3,1.62518,0.8656,1.4022,0.92057,0.93068,0.94772,0.50679,1.53716,0.6798,1.40218,0.0015248,0.0015248,0.0015248
14,18074.5,1.59777,0.84081,1.37781,0.92391,0.92983,0.95784,0.52846,1.52834,0.67088,1.42513,0.0014852,0.0014852,0.0014852
15,19363.8,1.59059,0.81611,1.36791,0.9425,0.92662,0.96891,0.54911,1.48041,0.64322,1.37881,0.0014456,0.0014456,0.0014456
16,20629.8,1.5473,0.7919,1.34671,0.93033,0.92948,0.95663,0.53764,1.45676,0.63999,1.36912,0.001406,0.001406,0.001406
17,21904.1,1.55547,0.80138,1.3575,0.93248,0.92199,0.96686,0.54959,1.50113,0.65344,1.38825,0.0013664,0.0013664,0.0013664
18,23386.3,1.56295,0.78496,1.36342,0.91851,0.92642,0.9532,0.55105,1.44956,0.62109,1.37876,0.0013268,0.0013268,0.0013268
