epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.77492,4.99172,5.71773,2.52257,0,0,0,0,5.51818,7.16389,3.20614,2e-05,2e-05,2e-05
2,19.7399,4.66383,5.4147,2.37647,0,0,0,0,4.74711,6.37295,2.27378,5.802e-05,5.802e-05,5.802e-05
3,29.0645,2.9328,4.91935,1.76813,0,0,0,0,3.21704,5.24851,1.47546,9.34e-05,9.34e-05,9.34e-05
4,40.913,2.73835,4.42722,1.35855,0,0,0,0,2.63712,4.95427,1.22982,0.00012614,0.00012614,0.00012614
5,53.2893,2.50267,4.26735,1.34074,0,0,0,0,2.63499,4.80019,1.12383,0.00015624,0.00015624,0.00015624
6,66.1557,2.1853,3.705,1.15072,0,0,0,0,2.04119,4.4201,1.03717,0.0001837,0.0001837,0.0001837
7,79.5436,1.92085,3.2115,1.01364,0.00278,0.17857,0.00113,0.00059,1.8821,4.11964,0.98885,0.00020852,0.00020852,0.00020852
8,91.4779,1.84953,2.49048,0.99169,0.00444,0.28571,0.00269,0.00078,2.06212,3.95204,1.04636,0.0002307,0.0002307,0.0002307
9,103.052,1.75184,1.97776,0.96291,0.00444,0.28571,0.00236,0.00068,2.06214,3.83859,1.05016,0.00025024,0.00025024,0.00025024
10,114.593,1.83524,2.03628,0.95966,0.00611,0.39286,0.00394,0.00187,2.01264,3.70579,1.06182,0.00026714,0.00026714,0.00026714
11,125.37,1.45145,1.77741,0.88106,0.00833,0.53571,0.00759,0.00344,1.94146,3.58354,1.0544,0.0002814,0.0002814,0.0002814
12,135.835,1.41062,1.83056,0.90778,0.01111,0.71429,0.01276,0.00534,1.90115,3.58095,1.05298,0.00029302,0.00029302,0.00029302
13,146.591,1.51415,1.66864,0.89571,0.01111,0.71429,0.01449,0.00565,1.98709,3.56615,1.068,0.000302,0.000302,0.000302
14,158.139,1.75637,1.79108,0.92951,0.00944,0.60714,0.01014,0.00398,2.12652,3.61814,1.10204,0.00030834,0.00030834,0.00030834
15,169.705,1.73645,1.66828,0.91182,0.00944,0.60714,0.00994,0.00334,2.14365,3.62007,1.09668,0.00031204,0.00031204,0.00031204
16,186.659,1.4193,1.57858,0.89073,0.01,0.64286,0.01047,0.00374,2.02323,3.57746,1.05353,0.0003131,0.0003131,0.0003131
17,199.578,1.52996,1.70155,0.89741,0.01,0.64286,0.01008,0.00476,1.79694,3.48323,0.98975,0.00031152,0.00031152,0.00031152
18,212.269,1.62911,1.62262,0.89877,0.01111,0.71429,0.01211,0.00513,1.71139,3.44002,0.96171,0.0003073,0.0003073,0.0003073
19,225.123,1.35605,1.58368,0.88663,0.01222,0.78571,0.01473,0.00605,1.68411,3.37059,0.94608,0.00030044,0.00030044,0.00030044
20,238.016,1.53404,1.48503,0.89294,0.01222,0.78571,0.08936,0.05785,1.71875,3.29688,0.95125,0.00029094,0.00029094,0.00029094
21,251.076,1.39633,1.98846,0.91012,0.01167,0.75,0.11756,0.06972,1.87239,3.27359,0.9823,0.0002788,0.0002788,0.0002788
22,263.855,1.46702,1.68253,0.85317,0.01167,0.75,0.04958,0.02955,1.91965,3.25477,0.99417,0.00026402,0.00026402,0.00026402
23,277.786,1.43195,1.56456,0.87082,0.01222,0.78571,0.01423,0.00516,1.87815,3.22625,0.98304,0.0002466,0.0002466,0.0002466
24,289.711,1.32578,1.60498,0.8841,0.01222,0.78571,0.01402,0.00582,1.83475,3.24304,0.97067,0.00022654,0.00022654,0.00022654
25,300.891,1.38973,1.53519,0.87848,0.01278,0.82143,0.01608,0.00624,1.76688,3.24315,0.95755,0.00020384,0.00020384,0.00020384
26,312.536,1.23787,1.50028,0.83173,0.01278,0.82143,0.01615,0.00667,1.71166,3.21899,0.94165,0.0001785,0.0001785,0.0001785
27,324.023,1.26045,1.50566,0.8751,0.01333,0.85714,0.05116,0.03105,1.68954,3.15269,0.93988,0.00015052,0.00015052,0.00015052
28,335.624,1.19148,1.4453,0.85325,0.01333,0.85714,0.05116,0.03105,1.68954,3.15269,0.93988,0.0001199,0.0001199,0.0001199
29,347.221,1.16788,1.43497,0.84713,0.01222,0.78571,0.13967,0.09751,1.68966,3.0945,0.94059,8.664e-05,8.664e-05,8.664e-05
30,359.617,1.19501,1.45101,0.83846,0.01222,0.78571,0.33393,0.21107,1.69793,3.02871,0.9445,5.074e-05,5.074e-05,5.074e-05
